"X","CountryCode","GTAPCode","GTAPDescription"
"Sint Maarten (Dutch part)","SXM","XCB","Caribbean"
"Antigua & Barbuda","ATG","XCB","Caribbean"
"Bahamas","BHS","XCB","Caribbean"
"Barbados","BRB","XCB","Caribbean"
"Cuba","CUB","XCB","Caribbean"
"Cayman Islands","CYM","XCB","Caribbean"
"Dominica","DMA","XCB","Caribbean"
"Dominican Republic","DOM","XCB","Caribbean"
"Grenada","GRD","XCB","Caribbean"
"Haiti","HTI","XCB","Caribbean"
"Jamaica","JAM","XCB","Caribbean"
"Saint Kitts and Nevis","KNA","XCB","Caribbean"
"Saint Lucia","LCA","XCB","Caribbean"
"Montserrat","MSR","XCB","Caribbean"
"Puerto Rico","PRI","XCB","Caribbean"
"Turks and Caicos Islands","TCA","XCB","Caribbean"
"Trinidad and Tobago","TTO","XCB","Caribbean"
"Saint Vincent and the Grenadines","VCT","XCB","Caribbean"
"Virgin Islands British","VGB","XCB","Caribbean"
"Virgin Islands U.S.","VIR","XCB","Caribbean"
"Central African Republic","CAF","XCF","Central Africa"
"Congo","COG","XCF","Central Africa"
"Gabon","GAB","XCF","Central Africa"
"Equatorial Guinea","GNQ","XCF","Central Africa"
"Sao Tome and Principe","STP","XCF","Central Africa"
"Chad","TCD","XCF","Central Africa"
"Macao","MAC","XEA","Rest of East Asia"
"Korea Democratic Peoples Republic of","PRK","XEA","Rest of East Asia"
"Burundi","BDI","XEC","Rest of Eastern Africa"
"Comoros","COM","XEC","Rest of Eastern Africa"
"Djibouti","DJI","XEC","Rest of Eastern Africa"
"Eritrea","ERI","XEC","Rest of Eastern Africa"
"Mayotte","MYT","XEC","Rest of Eastern Africa"
"Sudan","SDN","XEC","Rest of Eastern Africa"
"South Sudan","SSD","XEC","Rest of Eastern Africa"
"Somalia","SOM","XEC","Rest of Eastern Africa"
"Seychelles","SYC","XEC","Rest of Eastern Africa"
"Moldova Republic of","MDA","XEE","Rest of Eastern Europe"
"Iceland","ISL","XEF","Rest of EFTA"
"Liechtenstein","LIE","XEF","Rest of EFTA"
"Andorra","AND","XER","Rest of Europe"
"Bosnia and Herzegovina","BIH","XER","Rest of Europe"
"Faroe Islands","FRO","XER","Rest of Europe"
"Gibraltar","GIB","XER","Rest of Europe"
"Monaco","MCO","XER","Rest of Europe"
"Macedonia the former Yugoslav Republic of","MKD","XER","Rest of Europe"
"San Marino","SMR","XER","Rest of Europe"
"Serbia","SRB","XER","Rest of Europe"
"Guernsey","GGY","XER","Rest of Europe"
"Isle of Man","IMN","XER","Rest of Europe"
"Jersey","JEY","XER","Rest of Europe"
"Montenegro","MNE","XER","Rest of Europe"
"Holy See (Vatican City State)","VAT","XER","Rest of Europe"
"Bermuda","BMU","XNA","Rest of North America"
"Greenland","GRL","XNA","Rest of North America"
"Saint Pierre and Miquelon","SPM","XNA","Rest of North America"
"Algeria","DZA","XNF","Rest of North Africa"
"Libyan Arab Jamahiriya","LBY","XNF","Rest of North Africa"
"Western Sahara","ESH","XNF","Rest of North Africa"
"American Samoa","ASM","XOC","Rest of Oceania"
"Cook Islands","COK","XOC","Rest of Oceania"
"Fiji","FJI","XOC","Rest of Oceania"
"Micronesia Federated States of","FSM","XOC","Rest of Oceania"
"Guam","GUM","XOC","Rest of Oceania"
"Kiribati","KIR","XOC","Rest of Oceania"
"Marshall Islands","MHL","XOC","Rest of Oceania"
"Northern Mariana Islands","MNP","XOC","Rest of Oceania"
"New Caledonia","NCL","XOC","Rest of Oceania"
"Niue","NIU","XOC","Rest of Oceania"
"Nauru","NRU","XOC","Rest of Oceania"
"Palau","PLW","XOC","Rest of Oceania"
"Papua New Guinea","PNG","XOC","Rest of Oceania"
"French Polynesia","PYF","XOC","Rest of Oceania"
"Solomon Islands","SLB","XOC","Rest of Oceania"
"Tokelau","TKL","XOC","Rest of Oceania"
"Tonga","TON","XOC","Rest of Oceania"
"Tuvalu","TUV","XOC","Rest of Oceania"
"Vanuatu","VUT","XOC","Rest of Oceania"
"Wallis and Futuna","WLF","XOC","Rest of Oceania"
"Samoa","WSM","XOC","Rest of Oceania"
"Pitcairn","PCN","XOC","Rest of Oceania"
"United States Minor Outlying Islands","UMI","XOC","Rest of Oceania"
"Afghanistan","AFG","XSA","Rest of South Asia"
"Bhutan","BTN","XSA","Rest of South Asia"
"Maldives","MDV","XSA","Rest of South Asia"
"Lesotho","LSO","XSC","Rest of South African Customs Union"
"Swaziland","SWZ","XSC","Rest of South African Customs Union"
"Brunei Darussalam","BRN","XSE","Rest of Southeast Asia"
"Myanmar","MMR","XSE","Rest of Southeast Asia"
"Timor Leste","TLS","XSE","Rest of Southeast Asia"
"Falkland Islands (Malvinas)","FLK","XSM","Rest of South America"
"French Guiana","GUF","XSM","Rest of South America"
"Guyana","GUY","XSM","Rest of South America"
"Suriname","SUR","XSM","Rest of South America"
"South Georgia and the South Sandwich Islands","SGS","XSM","Rest of South America"
"Tajikistan","TJK","XSU","Rest of Former Soviet Union"
"Turkmenistan","TKM","XSU","Rest of Former Soviet Union"
"Uzbekistan","UZB","XSU","Rest of Former Soviet Union"
"Antarctica","ATA","XTW","Rest of the World"
"French Southern Territories","ATF","XTW","Rest of the World"
"Bouvet Island","BVT","XTW","Rest of the World"
"British Indian Ocean Territory","IOT","XTW","Rest of the World"
"Cape Verde","CPV","XWF","Rest of Western Africa"
"Gambia","GMB","XWF","Rest of Western Africa"
"Guinea-Bissau","GNB","XWF","Rest of Western Africa"
"Liberia","LBR","XWF","Rest of Western Africa"
"Mali","MLI","XWF","Rest of Western Africa"
"Mauritania","MRT","XWF","Rest of Western Africa"
"Niger","NER","XWF","Rest of Western Africa"
"Saint Helena, ASCENSION AND TRISTAN DA CUNHA","SHN","XWF","Rest of Western Africa"
"Sierra Leone","SLE","XWF","Rest of Western Africa"
"Iraq","IRQ","XWS","Rest of Western Asia"
"Jordan","JOR","XWS","Rest of Western Asia"
"Lebanon","LBN","XWS","Rest of Western Asia"
"Palestinian Territory Occupied","PSE","XWS","Rest of Western Asia"
"Syrian Arab Republic","SYR","XWS","Rest of Western Asia"
"Yemen","YEM","XWS","Rest of Western Asia"
