countryname;country;region
Panama;PAN;LAM
Pitcairn;PCN;OAS
Peru;PER;LAM
Philippines;PHL;OAS
Palau;PLW;OAS
Papua New Guinea;PNG;OAS
Poland;POL;POL
Puerto Rico;PRI;LAM
Korea, Democratic People's Republic of;PRK;OAS
Portugal;PRT;EUS
Paraguay;PRY;LAM
Palestine, State of;PSE;MEA
French Polynesia;PYF;OAS
Qatar;QAT;MEA
Reunion;REU;SSA
Romania;ROU;ROU
Russian Federation;RUS;RUS
Rwanda;RWA;SSA
Saudi Arabia;SAU;MEA
Sudan;SDN;MEA
Senegal;SEN;SSA
Singapore;SGP;OAS
South Georgia and the South Sandwich Islands;SGS;LAM
Saint Helena, Ascension and Tristan da Cunha;SHN;SSA
Svalbard and Jan Mayen;SJM;NEU
Solomon Islands;SLB;OAS
Sierra Leone;SLE;SSA
El Salvador;SLV;LAM
San Marino;SMR;NEU
Somalia;SOM;SSA
Saint Pierre and Miquelon;SPM;CAN
Serbia;SRB;NEU
South Sudan;SSD;SSA
Sao Tome and Principe;STP;SSA
Suriname;SUR;LAM
Slovakia;SVK;EUC
Slovenia;SVN;EUC
Sweden;SWE;EUN
Swaziland;SWZ;SSA
Sint Maarten (Dutch part);SXM;LAM
Seychelles;SYC;SSA
Syrian Arab Republic;SYR;MEA
Turks and Caicos Islands;TCA;LAM
Chad;TCD;SSA
Togo;TGO;SSA
Thailand;THA;THA
Tajikistan;TJK;REF
Tokelau;TKL;OAS
Turkmenistan;TKM;REF
Timor-Leste;TLS;OAS
Tonga;TON;OAS
Trinidad and Tobago;TTO;LAM
Tunisia;TUN;MEA
Turkey;TUR;TUR
Tuvalu;TUV;OAS
Taiwan, Province of China;TWN;CHA
Tanzania, United Republic of;TZA;SSA
Uganda;UGA;SSA
Ukraine;UKR;UKR
United States Minor Outlying Islands;UMI;OAS
Uruguay;URY;LAM
United States;USA;USA
Uzbekistan;UZB;REF
Holy See (Vatican City State);VAT;NEU
Saint Vincent and the Grenadines;VCT;LAM
Venezuela, Bolivarian Republic of;VEN;LAM
Virgin Islands, British;VGB;LAM
Virgin Islands, U.S.;VIR;LAM
Viet Nam;VNM;OAS
Vanuatu;VUT;OAS
Wallis and Futuna;WLF;OAS
Samoa;WSM;OAS
Yemen;YEM;MEA
South Africa;ZAF;ZAF
Zambia;ZMB;SSA
Zimbabwe;ZWE;SSA
