"country";"iso3";"image3_aggr"
"Curacao";"CUW";"Extra"
"Christmas Island";"CXR";"Extra"
"Cayman Islands";"CYM";"Central America"
"Cyprus";"CYP";"Central Europe"
"Czech Republic";"CZE";"Central Europe"
"Germany";"DEU";"Western Europe"
"Djibouti";"DJI";"Eastern Africa"
"Dominica";"DMA";"Central America"
"Denmark";"DNK";"Western Europe"
"Dominican Republic";"DOM";"Central America"
"Algeria";"DZA";"Northern Africa"
"Ecuador";"ECU";"Rest of South America"
"Egypt";"EGY";"Northern Africa"
"Eritrea";"ERI";"Eastern Africa"
"Western Sahara";"ESH";"Northern Africa"
"Spain";"ESP";"Western Europe"
"Estonia";"EST";"Central Europe"
"Ethiopia";"ETH";"Eastern Africa"
"Finland";"FIN";"Western Europe"
"Fiji";"FJI";"Oceania"
"Falkland Islands (Malvinas)";"FLK";"Rest of South America"
"France";"FRA";"Western Europe"
"Faroe Islands";"FRO";"Western Europe"
"Micronesia, Federated States of";"FSM";"Oceania"
"Gabon";"GAB";"Western Africa"
"United Kingdom";"GBR";"Western Europe"
"Georgia";"GEO";"Russia region"
"Guernsey";"GGY";"Extra"
"Ghana";"GHA";"Western Africa"
"Gibraltar";"GIB";"Western Europe"
"Guinea";"GIN";"Western Africa"
"Guadeloupe";"GLP";"Central America"
"Gambia";"GMB";"Western Africa"
"Guinea-Bissau";"GNB";"Western Africa"
"Equatorial Guinea";"GNQ";"Western Africa"
"Greece";"GRC";"Western Europe"
"Grenada";"GRD";"Central America"
"Greenland";"GRL";"Extra"
"Guatemala";"GTM";"Central America"
"French Guiana";"GUF";"Rest of South America"
"Guam";"GUM";"Extra"
"Guyana";"GUY";"Rest of South America"
"Hong Kong";"HKG";"China region"
"Heard Island and McDonald Islands";"HMD";"Extra"
"Honduras";"HND";"Central America"
"Croatia";"HRV";"Central Europe"
"Haiti";"HTI";"Central America"
"Hungary";"HUN";"Central Europe"
"Indonesia";"IDN";"Indonesia region"
"Isle of Man";"IMN";"Extra"
"India";"IND";"India"
"British Indian Ocean Territory";"IOT";"Extra"
"Ireland";"IRL";"Western Europe"
"Iran, Islamic Republic of";"IRN";"Middle East"
"Iraq";"IRQ";"Middle East"
"Iceland";"ISL";"Western Europe"
"Israel";"ISR";"Middle East"
"Italy";"ITA";"Western Europe"
"Jamaica";"JAM";"Central America"
"Jersey";"JEY";"Extra"
"Jordan";"JOR";"Middle East"
"Japan";"JPN";"Japan"
"Kazakhstan";"KAZ";"Central Asia"
"Kenya";"KEN";"Eastern Africa"
"Kyrgyzstan";"KGZ";"Central Asia"
"Cambodia";"KHM";"Southeastern Asia"
"Kiribati";"KIR";"Oceania"
"Saint Kitts and Nevis";"KNA";"Central America"
"Korea, Republic of";"KOR";"Korea region"
"Kuwait";"KWT";"Middle East"
"Lao People's Democratic Republic";"LAO";"Southeastern Asia"
"Lebanon";"LBN";"Middle East"
"Liberia";"LBR";"Western Africa"
"Libya";"LBY";"Northern Africa"
"Saint Lucia";"LCA";"Central America"
"Liechtenstein";"LIE";"Western Europe"
"Sri Lanka";"LKA";"Rest of South Asia"
"Lesotho";"LSO";"Rest of Southern Africa"
"Lithuania";"LTU";"Central Europe"
"Luxembourg";"LUX";"Western Europe"
"Latvia";"LVA";"Central Europe"
"Macao";"MAC";"China region"
"Saint Martin (French part)";"MAF";"Extra"
"Morocco";"MAR";"Northern Africa"
"Monaco";"MCO";"Western Europe"
"Moldova, Republic of";"MDA";"Ukraine region"
"Madagascar";"MDG";"Eastern Africa"
"Maldives";"MDV";"Rest of South Asia"
"Mexico";"MEX";"Mexico"
"Marshall Islands";"MHL";"Oceania"
"Macedonia, the former Yugoslav Republic of";"MKD";"Central Europe"
"Mali";"MLI";"Western Africa"
"Malta";"MLT";"Western Europe"
"Myanmar";"MMR";"Southeastern Asia"
"Montenegro";"MNE";"Central Europe"
"Mongolia";"MNG";"China region"
"Northern Mariana Islands";"MNP";"Oceania"
"Mozambique";"MOZ";"Rest of Southern Africa"
"Mauritania";"MRT";"Western Africa"
"Montserrat";"MSR";"Central America"
"Martinique";"MTQ";"Central America"
"Mauritius";"MUS";"Eastern Africa"
"Malawi";"MWI";"Rest of Southern Africa"
"Malaysia";"MYS";"Southeastern Asia"
"Mayotte";"MYT";"Extra"
"Namibia";"NAM";"Rest of Southern Africa"
"New Caledonia";"NCL";"Oceania"
"Niger";"NER";"Western Africa"
"Norfolk Island";"NFK";"Extra"
"Nigeria";"NGA";"Western Africa"
"Nicaragua";"NIC";"Central America"
"Niue";"NIU";"Oceania"
"Netherlands";"NLD";"Western Europe"
"Norway";"NOR";"Western Europe"
"Nepal";"NPL";"Rest of South Asia"
"Nauru";"NRU";"Oceania"
"New Zealand";"NZL";"Oceania"
"Oman";"OMN";"Middle East"
"Pakistan";"PAK";"Rest of South Asia"
"Panama";"PAN";"Central America"
"Pitcairn";"PCN";"Oceania"
"Peru";"PER";"Rest of South America"
"Philippines";"PHL";"Southeastern Asia"
"Palau";"PLW";"Oceania"
"Papua New Guinea";"PNG";"Indonesia region"
"Poland";"POL";"Central Europe"
"Puerto Rico";"PRI";"Central America"
"Korea, Democratic People's Republic of";"PRK";"Korea region"
"Portugal";"PRT";"Western Europe"
"Paraguay";"PRY";"Rest of South America"
"Palestine, State of";"PSE";"Extra"
"French Polynesia";"PYF";"Oceania"
"Qatar";"QAT";"Middle East"
"Reunion";"REU";"Eastern Africa"
"Romania";"ROU";"Central Europe"
"Russian Federation";"RUS";"Russia region"
"Rwanda";"RWA";"Eastern Africa"
"Saudi Arabia";"SAU";"Middle East"
"Sudan";"SDN";"Eastern Africa"
"Senegal";"SEN";"Western Africa"
"Singapore";"SGP";"Southeastern Asia"
"South Georgia and the South Sandwich Islands";"SGS";"Extra"
"Saint Helena, Ascension and Tristan da Cunha";"SHN";"Western Africa"
"Svalbard and Jan Mayen";"SJM";"Extra"
"Solomon Islands";"SLB";"Oceania"
"Sierra Leone";"SLE";"Western Africa"
"El Salvador";"SLV";"Central America"
"San Marino";"SMR";"Western Europe"
"Somalia";"SOM";"Eastern Africa"
"Saint Pierre and Miquelon";"SPM";"USA"
"Serbia";"SRB";"Central Europe"
"South Sudan";"SSD";"Extra"
"Sao Tome and Principe";"STP";"Western Africa"
"Suriname";"SUR";"Rest of South America"
"Slovakia";"SVK";"Central Europe"
"Slovenia";"SVN";"Central Europe"
"Sweden";"SWE";"Western Europe"
"Swaziland";"SWZ";"Rest of Southern Africa"
"Sint Maarten (Dutch part)";"SXM";"Extra"
"Seychelles";"SYC";"Eastern Africa"
"Syrian Arab Republic";"SYR";"Middle East"
"Turks and Caicos Islands";"TCA";"Central America"
"Chad";"TCD";"Western Africa"
"Togo";"TGO";"Western Africa"
"Thailand";"THA";"Southeastern Asia"
"Tajikistan";"TJK";"Central Asia"
"Tokelau";"TKL";"Oceania"
"Turkmenistan";"TKM";"Central Asia"
"Timor-Leste";"TLS";"Indonesia region"
"Tonga";"TON";"Oceania"
"Trinidad and Tobago";"TTO";"Central America"
"Tunisia";"TUN";"Northern Africa"
"Turkey";"TUR";"Turkey"
"Tuvalu";"TUV";"Oceania"
"Taiwan, Province of China";"TWN";"China region"
"Tanzania, United Republic of";"TZA";"Rest of Southern Africa"
"Uganda";"UGA";"Eastern Africa"
"Ukraine";"UKR";"Ukraine region"
"United States Minor Outlying Islands";"UMI";"Extra"
"Uruguay";"URY";"Rest of South America"
"United States";"USA";"USA"
"Uzbekistan";"UZB";"Central Asia"
"Holy See (Vatican City State)";"VAT";"Western Europe"
"Saint Vincent and the Grenadines";"VCT";"Central America"
"Venezuela, Bolivarian Republic of";"VEN";"Rest of South America"
"Virgin Islands, British";"VGB";"Central America"
"Virgin Islands, U.S.";"VIR";"Central America"
"Viet Nam";"VNM";"Southeastern Asia"
"Vanuatu";"VUT";"Oceania"
"Wallis and Futuna";"WLF";"Oceania"
"Samoa";"WSM";"Oceania"
"Yemen";"YEM";"Middle East"
"South Africa";"ZAF";"South Africa"
"Zambia";"ZMB";"Rest of Southern Africa"
"Zimbabwe";"ZWE";"Rest of Southern Africa"
