X;CountryCode;RegionCode;Region
Denmark;DNK;EUR;EU
Djibouti;DJI;SSA;AF
Dominica;DMA;LAM;LA
Dominican Republic;DOM;LAM;LA
Ecuador;ECU;LAM;LA
Egypt;EGY;MEA;AF
El Salvador;SLV;LAM;LA
Equatorial Guinea;GNQ;SSA;AF
Eritrea;ERI;SSA;AF
Estonia;EST;EUR;EU
Ethiopia;ETH;SSA;AF
Falkland Islands (Malvinas);FLK;LAM;
Faroe Islands;FRO;EUR;EU
Fiji;FJI;OAS;IA
Finland;FIN;EUR;EU
France;FRA;EUR;EU
French Guiana;GUF;LAM;
French Polynesia;PYF;OAS;
French Southern Territories;ATF;OAS;
Gabon;GAB;SSA;AF
Gambia;GMB;SSA;AF
Georgia;GEO;REF;EE
Germany;DEU;EUR;EU
Ghana;GHA;SSA;AF
Gibraltar;GIB;EUR;EU
Greece;GRC;EUR;EU
Greenland;GRL;NEU;
Grenada;GRD;LAM;LA
Guadeloupe;GLP;LAM;
Guam;GUM;OAS;
Guatemala;GTM;LAM;LA
Guernsey;GGY;EUR;EU
Guinea;GIN;SSA;AF
Guinea-Bissau;GNB;SSA;AF
Guyana;GUY;LAM;LA
Haiti;HTI;LAM;LA
Heard Island and McDonald Islands;HMD;CAZ;
Holy See (Vatican City State);VAT;NEU;
Honduras;HND;LAM;LA
Hong Kong;HKG;CHA;CA
Hungary;HUN;EUR;EU
Iceland;ISL;NEU;EE
India;IND;IND;IA
Indonesia;IDN;OAS;IA
Iran, Islamic Republic of;IRN;MEA;AF
Iraq;IRQ;MEA;AF
Ireland;IRL;EUR;EU
Isle of Man;IMN;EUR;EU
Israel;ISR;MEA;AF
Italy;ITA;EUR;EU
Jamaica;JAM;LAM;LA
Japan;JPN;JPN;OT
Jersey;JEY;EUR;EU
Jordan;JOR;MEA;AF
Kazakhstan;KAZ;REF;EE
Kenya;KEN;SSA;AF
Kiribati;KIR;OAS;IA
Korea, Democratic People's Republic of;PRK;OAS;CA
Korea, Republic of;KOR;OAS;IA
Kuwait;KWT;MEA;AF
Kyrgyzstan;KGZ;REF;EE
Lao People's Democratic Republic;LAO;OAS;CA
Latvia;LVA;EUR;EU
Lebanon;LBN;MEA;AF
Lesotho;LSO;SSA;AF
Liberia;LBR;SSA;AF
Libya;LBY;MEA;AF
Liechtenstein;LIE;NEU;
Lithuania;LTU;EUR;EU
Luxembourg;LUX;EUR;EU
Macao;MAC;CHA;
Macedonia, the former Yugoslav Republic of;MKD;NEU;EE
Madagascar;MDG;SSA;AF
Malawi;MWI;SSA;AF
Malaysia;MYS;OAS;IA
Maldives;MDV;OAS;IA
Mali;MLI;SSA;AF
Malta;MLT;EUR;EU
Marshall Islands;MHL;OAS;
Martinique;MTQ;LAM;
Mauritania;MRT;SSA;AF
Mauritius;MUS;SSA;AF
Mayotte;MYT;SSA;
Mexico;MEX;LAM;LA
Micronesia, Federated States of;FSM;OAS;
Moldova, Republic of;MDA;REF;EE
Monaco;MCO;NEU;
Mongolia;MNG;OAS;EE
Montenegro;MNE;NEU;EE
Montserrat;MSR;LAM;
Morocco;MAR;MEA;AF
Mozambique;MOZ;SSA;AF
Myanmar;MMR;OAS;CA
Namibia;NAM;SSA;AF
Nauru;NRU;OAS;
Nepal;NPL;OAS;IA
Netherlands;NLD;EUR;EU
New Caledonia;NCL;OAS;
New Zealand;NZL;CAZ;OT
Nicaragua;NIC;LAM;LA
Niger;NER;SSA;AF
Nigeria;NGA;SSA;AF
Niue;NIU;OAS;
Norfolk Island;NFK;OAS;
Northern Mariana Islands;MNP;OAS;
Norway;NOR;NEU;OT
Oman;OMN;MEA;AF
Pakistan;PAK;OAS;IA
Palau;PLW;OAS;
Palestine, State of;PSE;MEA;AF
Panama;PAN;LAM;LA
Papua New Guinea;PNG;OAS;IA
Paraguay;PRY;LAM;LA
Peru;PER;LAM;LA
Philippines;PHL;OAS;IA
Pitcairn;PCN;OAS;
Poland;POL;EUR;EU
Portugal;PRT;EUR;EU
Puerto Rico;PRI;LAM;LA
Qatar;QAT;MEA;AF
Reunion;REU;SSA;
Romania;ROU;EUR;EU
Russian Federation;RUS;REF;EE
Rwanda;RWA;SSA;AF
Saint Barthelemy;BLM;LAM;
Saint Helena, Ascension and Tristan da Cunha;SHN;SSA;
Saint Kitts and Nevis;KNA;LAM;
Saint Lucia;LCA;LAM;LA
Saint Martin (French part);MAF;LAM;
Saint Pierre and Miquelon;SPM;CAZ;
Saint Vincent and the Grenadines;VCT;LAM;LA
Samoa;WSM;OAS;IA
San Marino;SMR;NEU;
Sao Tome and Principe;STP;SSA;AF
Saudi Arabia;SAU;MEA;AF
Senegal;SEN;SSA;AF
Serbia;SRB;NEU;EE
Seychelles;SYC;SSA;AF
Sierra Leone;SLE;SSA;AF
Singapore;SGP;OAS;IA
Sint Maarten (Dutch part);SXM;LAM;
Slovakia;SVK;EUR;EU
Slovenia;SVN;EUR;EU
Solomon Islands;SLB;OAS;IA
Somalia;SOM;SSA;AF
South Africa;ZAF;SSA;AF
South Georgia and the South Sandwich Islands;SGS;LAM;
South Sudan;SSD;SSA;AF
Spain;ESP;EUR;EU
Sri Lanka;LKA;OAS;IA
Sudan;SDN;MEA;AF
Suriname;SUR;LAM;LA
Svalbard and Jan Mayen;SJM;NEU;
Swaziland;SWZ;SSA;AF
Sweden;SWE;EUR;EU
Switzerland;CHE;NEU;OT
Syrian Arab Republic;SYR;MEA;AF
Taiwan, Province of China;TWN;CHA;IA
Tajikistan;TJK;REF;EE
Tanzania, United Republic of;TZA;SSA;AF
Thailand;THA;OAS;IA
Timor-Leste;TLS;OAS;IA
Togo;TGO;SSA;AF
Tokelau;TKL;OAS;
Tonga;TON;OAS;IA
Trinidad and Tobago;TTO;LAM;LA
Tunisia;TUN;MEA;AF
Turkey;TUR;NEU;OT
Turkmenistan;TKM;REF;EE
Turks and Caicos Islands;TCA;LAM;
Tuvalu;TUV;OAS;
Uganda;UGA;SSA;AF
Ukraine;UKR;REF;EE
United Arab Emirates;ARE;MEA;AF
United Kingdom;GBR;EUR;EU
United States;USA;USA;US
United States Minor Outlying Islands;UMI;OAS;
Uruguay;URY;LAM;LA
Uzbekistan;UZB;REF;EE
Vanuatu;VUT;OAS;IA
Venezuela, Bolivarian Republic of;VEN;LAM;LA
Viet Nam;VNM;OAS;CA
Virgin Islands, British;VGB;LAM;
Virgin Islands, U.S.;VIR;LAM;
Wallis and Futuna;WLF;OAS;
Western Sahara;ESH;MEA;
Yemen;YEM;MEA;AF
Zambia;ZMB;SSA;AF
Zimbabwe;ZWE;SSA;AF
