countryname;country;region;superregion
Sierra Leone;SLE;SLE;SSA
El Salvador;SLV;SLV;LAM
San Marino;SMR;NEU;NEU
Somalia;SOM;SOM;SSA
Saint Pierre and Miquelon;SPM;CAZ;CAZ
Serbia;SRB;SRB;NEU
South Sudan;SSD;SSD;SSA
Sao Tome and Principe;STP;STP;SSA
Suriname;SUR;SUR;LAM
Slovakia;SVK;SVK;EUR
Slovenia;SVN;SVN;EUR
Sweden;SWE;SWE;EUR
Swaziland;SWZ;SWZ;SSA
Sint Maarten (Dutch part);SXM;LAM;LAM
Seychelles;SYC;SSA;SSA
Syrian Arab Republic;SYR;SYR;MEA
Turks and Caicos Islands;TCA;LAM;LAM
Chad;TCD;TCD;SSA
Togo;TGO;TGO;SSA
Thailand;THA;THA;OAS
Tajikistan;TJK;TJK;REF
Tokelau;TKL;OAS;OAS
Turkmenistan;TKM;TKM;REF
Timor-Leste;TLS;TLS;OAS
Tonga;TON;OAS;OAS
Trinidad and Tobago;TTO;TTO;LAM
Tunisia;TUN;TUN;MEA
Turkey;TUR;TUR;NEU
Tuvalu;TUV;OAS;OAS
Taiwan, Province of China;TWN;TWN;CHA
Tanzania, United Republic of;TZA;TZA;SSA
Uganda;UGA;UGA;SSA
Ukraine;UKR;UKR;REF
United States Minor Outlying Islands;UMI;OAS;OAS
Uruguay;URY;URY;LAM
United States;USA;USA;USA
Uzbekistan;UZB;UZB;REF
Holy See (Vatican City State);VAT;NEU;NEU
Saint Vincent and the Grenadines;VCT;VCT;LAM
Venezuela, Bolivarian Republic of;VEN;VEN;LAM
Virgin Islands, British;VGB;LAM;LAM
Virgin Islands, U.S.;VIR;LAM;LAM
Viet Nam;VNM;VNM;OAS
Vanuatu;VUT;VUT;OAS
Wallis and Futuna;WLF;OAS;OAS
Samoa;WSM;WSM;OAS
Yemen;YEM;YEM;MEA
South Africa;ZAF;ZAF;SSA
Zambia;ZMB;ZMB;SSA
Zimbabwe;ZWE;ZWE;SSA
