countryname;country;region
Uzbekistan;UZB;REF
Vanuatu;VUT;OAS
Venezuela;VEN;LAM
Viet Nam;VNM;OAS
Virgin Islands British;VGB;LAM
Virgin Islands U.S.;VIR;LAM
Wallis and Futuna;WLF;OAS
Western Sahara;ESH;MEA
Yemen;YEM;MEA
Zambia;ZMB;SSA
Zimbabwe;ZWE;SSA
