FAO_Fishing_Area,ExclEconZone
Atlantic Western Central,SaintMartin French Part
Atlantic Western Central,Curacao
Atlantic Western Central,Bonaire
Atlantic Western Central,Sint Eustatius and Saba
Atlantic Western Central,Sint Maarten partie neederlandaise
Atlantic Northeast,France Atlantic Coast
Pacific Eastern Central,Honduras Pacific
Atlantic Western Central,Honduras Caribbean
Pacific Northeast,Canada Pacific
Atlantic Northwest,Canada East Coast and Arctic1
Arctic Sea,Canada East Coast and Arctic2
Atlantic Western Central,Colombia Caribbean
Pacific Southeast,Colombia Pacific
Atlantic Western Central,Costa Rica Caribbean
Pacific Eastern Central,Costa Rica Pacific
Atlantic Northeast,Denmark North Sea
Pacific Eastern Central,Guatemala Pacific
Indian Ocean Eastern,Indonesia
Pacific Western Central,Kiribati Gilbert Islands
Pacific Eastern Central,Kiribati Line Islands
Pacific Eastern Central,Kiribati Phoenix Islands
Atlantic Western Central,Mexico Atlantic
Pacific Eastern Central,Mexico Pacific
Atlantic Eastern Central,Morocco South
Atlantic Western Central,Nicaragua Caribbean
Pacific Eastern Central,Nicaragua Pacific
Pacific Eastern Central,Panama1
Atlantic Western Central,Panama2
Atlantic Southeast,South Africa1
Indian Ocean Western,South Africa2
Indian Ocean Eastern,Thailand Andaman Sea
Pacific Western Central,Thailand Gulf of Thailand
Arctic Sea,United States of America Alaska1
Pacific Northeast,United States of America Alaska2
Atlantic Northeast,Spain Northwest
Atlantic Western Central,Aruba
Indian Ocean Western,Iles Glorieuses
