countryname;country;region;superregion
Sierra Leone;SLE;SSA;SSA
El Salvador;SLV;LAM;LAM
San Marino;SMR;NEU;NEU
Somalia;SOM;SOM;SSA
Saint Pierre and Miquelon;SPM;CAN;CAN
Serbia;SRB;SRB;NEU
South Sudan;SSD;SSD;SSA
Sao Tome and Principe;STP;SSA;SSA
Suriname;SUR;LAM;LAM
Slovakia;SVK;SVK;EUR
Slovenia;SVN;EUC;EUR
Sweden;SWE;SWE;EUR
Swaziland;SWZ;SSA;SSA
Sint Maarten (Dutch part);SXM;LAM;LAM
Seychelles;SYC;SSA;SSA
Syrian Arab Republic;SYR;SYR;MEA
Turks and Caicos Islands;TCA;LAM;LAM
Chad;TCD;TCD;SSA
Togo;TGO;TGO;SSA
Thailand;THA;THA;OAS
Tajikistan;TJK;REF;REF
Tokelau;TKL;OAS;OAS
Turkmenistan;TKM;TKM;REF
Timor-Leste;TLS;OAS;OAS
Tonga;TON;OAS;OAS
Trinidad and Tobago;TTO;LAM;LAM
Tunisia;TUN;TUN;MEA
Turkey;TUR;TUR;NEU
Tuvalu;TUV;OAS;OAS
Taiwan, Province of China;TWN;CHA;CHA
Tanzania, United Republic of;TZA;TZA;SSA
Uganda;UGA;UGA;SSA
Ukraine;UKR;UKR;REF
United States Minor Outlying Islands;UMI;OAS;OAS
Uruguay;URY;URY;LAM
United States;USA;USA;USA
Uzbekistan;UZB;UZB;REF
Holy See (Vatican City State);VAT;NEU;NEU
Saint Vincent and the Grenadines;VCT;LAM;LAM
Venezuela, Bolivarian Republic of;VEN;VEN;LAM
Virgin Islands, British;VGB;LAM;LAM
Virgin Islands, U.S.;VIR;LAM;LAM
Viet Nam;VNM;VNM;OAS
Vanuatu;VUT;OAS;OAS
Wallis and Futuna;WLF;OAS;OAS
Samoa;WSM;OAS;OAS
Yemen;YEM;YEM;MEA
South Africa;ZAF;ZAF;SSA
Zambia;ZMB;ZMB;SSA
Zimbabwe;ZWE;ZWE;SSA
