WEO;REMIND;Unit_WEO;Unit_REMIND;Conversion;Comment
CO2 combustion-Total-Total energy supply;Emi|CO2|Energy;Mt CO2;Mt CO2/yr;1;
CO2 combustion-Total-Total navigation (domestic and bunkers);;;;;
CO2 combustion-Total-Transport;Emi|CO2|Energy|Demand|Transport;Mt CO2;Mt CO2/yr;1;
CO2 industrial processes captured and stored-Total-Biofuels production;;;;;
CO2 industrial processes captured and used-Total-Total all sectors;Carbon Management|Storage;Mt CO2;Mt CO2/yr;1;
CO2 removal-Total-Industry;;;;;
CO2 removal-Total-Total all sectors;Emi|CO2|CDR|BECCS;Mt CO2;Mt CO2/yr;-1;
Energy-Ammonia (total)-Power sector inputs;;;;;
Energy-Ammonia (total)-Total final consumption;;;;;
Energy-Bioenergy and waste-Electricity generation;SE|Electricity|Biomass;TWh;EJ/yr;0.0036;
Energy-Bioenergy and waste-Power sector inputs;PE|Biomass|Electricity;EJ;EJ/yr;1;
Energy-Bioenergy with CCUS-Electricity generation;SE|Electricity|Biomass|w/ CC;TWh;EJ/yr;0.0036;
Energy-Biofuels-Biofuels production;SE|Liquids|Biomass;EJ;EJ/yr;1;
Energy-Biofuels-Transport;;;;;
Energy-Biomethane (total)-Buildings;;;;;
Energy-Biomethane (total)-Industry;;;;;
Energy-Biomethane (total)-Total final consumption;;;;;
Energy-Biomethane (total)-Transport;;;;;
Energy-Coal unabated-Electricity generation;SE|Electricity|Coal|w/o CC;TWh;EJ/yr;0.0036;
Energy-Coal unabated-Industry;;;;;
Energy-Coal unabated-Power sector inputs;PE|Coal|Electricity;EJ;EJ/yr;1;
Energy-Coal unabated-Total energy supply;PE|Coal;EJ;EJ/yr;1;
Energy-Coal with CCUS-Electricity generation;SE|Electricity|Coal|w/ CC;TWh;EJ/yr;0.0036;
Energy-Coal with CCUS-Industry;;;;;
Energy-Coal with CCUS-Power sector inputs;PE|Coal|Electricity|w/ CC;EJ;EJ/yr;1;
Energy-Coal with CCUS-Total energy supply;PE|Coal;EJ;EJ/yr;1;
Energy-Coal-Buildings;FE|Buildings|Solids|Fossil;EJ;EJ/yr;1;
Energy-Coal-Electricity generation;SE|Electricity|Coal;TWh;EJ/yr;0.0036;
Energy-Coal-Total final consumption;;;;;
Energy-Coal-Total primary energy demand;;;;;
Energy-Concentrating solar power-Electricity generation;SE|Electricity|Solar|CSP;TWh;EJ/yr;0.0036;
Energy-District heat-Buildings;FE|Buildings|Heat;EJ;EJ/yr;1;
Energy-District heat-Industry;;;;;
Energy-District heat-Total final consumption;FE|Heat;EJ;EJ/yr;1;
Energy-Electricity-Buildings;FE|Buildings|Electricity;EJ;EJ/yr;1;
Energy-Electricity-Industry;;;;;
Energy-Electricity-Total final consumption;FE|Electricity;EJ;EJ/yr;1;
Energy-Electricity-Transport;FE|Transport|Electricity;EJ;EJ/yr;1;
Energy-Fossil fuels unabated-Electricity generation;SE|Electricity|Fossil|w/o CC;TWh;EJ/yr;0.0036;
Energy-Fossil fuels with CCUS-Electricity generation;SE|Electricity|Fossil|w/ CC;TWh;EJ/yr;0.0036;
Energy-Gas with CCUS-Electricity generation;SE|Electricity|Gas|w/ CC;TWh;EJ/yr;0.0036;
Energy-Gas with CCUS-Industry;;;;;
Energy-Gas with CCUS-Power sector inputs;PE|Gas|Electricity|w/ CC;EJ;EJ/yr;1;
Energy-Gas with CCUS-Total energy supply;PE|Gas;EJ;EJ/yr;1;
Energy-Geothermal-Electricity generation;SE|Electricity|Geothermal;TWh;EJ/yr;0.0036;
Energy-Hydro-Electricity generation;SE|Electricity|Hydro;TWh;EJ/yr;0.0036;
Energy-Hydrogen (low-emissions)-Supply;SE|Hydrogen|Electricity;EJ;EJ/yr;1;
Energy-Hydrogen (total)-Buildings;FE|Buildings|Hydrogen;EJ;EJ/yr;1;
Energy-Hydrogen (total)-Industry;;;;;
Energy-Hydrogen (total)-Power sector inputs;SE|Input|Hydrogen|Electricity;EJ;EJ/yr;1;
Energy-Hydrogen (total)-Total final consumption;FE|Hydrogen;EJ;EJ/yr;1;
Energy-Hydrogen (total)-Transport;FE|Transport|Hydrogen;EJ;EJ/yr;1;
Energy-Hydrogen based fuels-Electricity generation;SE|Electricity|Hydrogen;TWh;EJ/yr;0.0036;
Energy-Hydro-Power sector inputs;;;;;
Energy-Hydro-Total energy supply;PE|Hydro;EJ;EJ/yr;1;
Energy-Modern biomass gas-Total energy supply;FE|Gases|Biomass;EJ;EJ/yr;1;
Energy-Modern biomass gas-Total energy supply;PE|Biomass;EJ;EJ/yr;1;
Energy-Modern biomass liquid-Buildings;FE|Buildings|Liquids|Biomass;EJ;EJ/yr;1;
Energy-Modern biomass liquid-Total energy supply;PE|Biomass;EJ;EJ/yr;1;
Energy-Modern biomass liquid-Total final consumption;FE|Liquids|Biomass;EJ;EJ/yr;1;
Energy-Modern biomass solid-Buildings;FE|Buildings|Solids|Biomass|Modern;EJ;EJ/yr;1;
Energy-Modern biomass solid-Industry;;;;;
Energy-Modern biomass solid-Total energy supply;FE|Solids|Biomass|Modern;EJ;EJ/yr;1;
Energy-Modern biomass solid-Total energy supply;PE|Biomass;EJ;EJ/yr;1;
Energy-Natural gas unabated-Electricity generation;SE|Electricity|Gas|w/o CC;TWh;EJ/yr;0.0036;
Energy-Natural gas unabated-Industry;;;;;
Energy-Natural gas unabated-Power sector inputs;PE|Gas|Electricity;EJ;EJ/yr;1;
Energy-Natural gas unabated-Total energy supply;PE|Gas;EJ;EJ/yr;1;
Energy-Natural gas-Buildings;;;;;
Energy-Natural gas-Electricity generation;SE|Electricity|Gas;EJ;EJ/yr;1;
Energy-Natural gas-Total final consumption;;;;;
Energy-Natural gas-Total primary energy demand;;;;;
Energy-Natural gas-Transport;;;;;
Energy-Nuclear-Electricity generation;SE|Electricity|Nuclear;TWh;EJ/yr;0.0036;
Energy-Nuclear-Power sector inputs;;;;;
Energy-Nuclear-Total energy supply;PE|Nuclear;EJ;EJ/yr;1;accounting method
Energy-Oil products-Buildings;FE|Buildings|Liquids|Fossil|Oil;EJ;EJ/yr;1;
Energy-Oil products-Electricity generation;;;;;
Energy-Oil products-Industry;;;;;
Energy-Oil products-Non-energy use;;;;;
Energy-Oil products-Power sector inputs;;;;;
Energy-Oil products-Total energy supply;PE|Oil;EJ;EJ/yr;1;
Energy-Oil products-Total final consumption;FE|Liquids|Fossil|Oil;EJ;EJ/yr;1;
Energy-Oil products-Total primary energy demand;;;;;
Energy-Oil products-Transport;FE|Transport|Liquids|Fossil|Oil;EJ;EJ/yr;1;
Energy-Renewables-Electricity generation;;;;;
Energy-Renewables-Power sector inputs;;;;;
Energy-Renewables-Total energy supply;;;;;
Energy-Renewables-Total primary energy demand;;;;;
Energy-Solar PV-Electricity generation;SE|Electricity|Solar|PV;TWh;EJ/yr;0.0036;
Energy-Solar PV-Power sector inputs;;;;;
Energy-Solar-Total energy supply;PE|Solar;EJ;EJ/yr;1;
Energy-Solid biomass incl. TUOB-Total final consumption;;;;;
Energy-Synthetic methane (total)-Total final consumption;;;;;
Energy-Synthetic oil products (total)-Total final consumption;;;;;
Energy-Tide and wave-Electricity generation;;;;;
Energy-Total gases-Buildings;FE|Buildings|Gases;EJ;EJ/yr;1;
Energy-Total gases-Industry;;;;;
Energy-Total gases-Total final consumption;FE|Gases;EJ;EJ/yr;1;
Energy-Total gases-Transport;FE|Transport|Gases;EJ;EJ/yr;1;
Energy-Total liquids-Buildings;FE|Buildings|Liquids;EJ;EJ/yr;1;
Energy-Total liquids-Industry;;;;;
Energy-Total liquids-Total final consumption;FE|Liquids;EJ;EJ/yr;1;
Energy-Total liquids-Transport;FE|Transport|Liquids;EJ;EJ/yr;1;
Energy-Total solid fuels-Buildings;FE|Buildings|Solids;EJ;EJ/yr;1;
Energy-Total solid fuels-Industry;;;;;
Energy-Total solid fuels-Total final consumption;FE|Solids;EJ;EJ/yr;1;
Energy-Total-Buildings;FE|Buildings;EJ;EJ/yr;1;
Energy-Total-Cement;;;;;
Energy-Total-Chemical and petrochemical;;;;;
Energy-Total-Electricity generation;SE|Electricity;TWh;EJ/yr;0.0036;
Energy-Total-Industry;;;;;
Energy-Total-Iron and steel;FE|Industry|Steel;EJ;EJ/yr;1;
Energy-Total-Other energy sector;;;;;
Energy-Total-Power sector inputs;;;;;
Energy-Total-Residential;;;;;
Energy-Total-Road;FE|Transport|Road;EJ;EJ/yr;1;
Energy-Total-Road heavy-duty trucks;;;;;
Energy-Total-Road passenger light duty vehicle;FE|Transport|Pass|Road|LDV;EJ;EJ/yr;1;
Energy-Total-Services;;;;;
Energy-Total-Total aviation (domestic and bunkers);;;;;
Energy-Total-Total energy supply;;;;;
Energy-Total-Total final consumption;FE;EJ;EJ/yr;1;
Energy-Total-Total navigation (domestic and bunkers);FE|Transport|Freight|International Shipping;EJ;EJ/yr;1;
Energy-Total-Total primary energy demand;PE;EJ;EJ/yr;1;
Energy-Total-Transport;FE|Transport;EJ;EJ/yr;1;
Energy-Traditional use of biomass-Residential;FE|Buildings|Solids|Biomass|Traditional;EJ;EJ/yr;1;
Energy-Traditional use of biomass-Total energy supply;PE|Biomass;EJ;EJ/yr;1;
Energy-Traditional use of biomass-Total energy supply;PE|Biomass|Traditional;EJ;EJ/yr;1;
Energy-Wind-Electricity generation;SE|Electricity|Wind;TWh;EJ/yr;0.0036;
Energy-Wind-Power sector inputs;;;;;
Energy-Wind-Total energy supply;PE|Wind;EJ;EJ/yr;1;
